                             _LE:LE22 PI: LINE  _S:S22 PI: LINER-,,,,                             _LE:LE22 PI: LINE  _S:S22 PI: LINER-,,,,,,,,,,,,,,,,,,,,
                  X           R-1 E: 124 IP: 1    1 E: 124 IP: 1 ,,,,                  X           R-1 E: 88 IP: 1     1 E: 88 IP: 1  ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.0000,0,,,,A,3.76E-05,2.50E-27,
0,0,0,,0,0,0,,,,,,,,,,0.0008,1,,,,n,1.5,5,
1.43E-02,2.27E-04,2.72E-01,,1.43E-02,2.27E-04,2.72E-01,,,,,,,,,,0.0017,2,,,,m,-0.5,-0.2,
2.86E-02,4.54E-04,5.43E-01,,2.86E-02,4.54E-04,5.43E-01,,,,,,,,,,0.0025,3,,,,,,,
4.29E-02,6.81E-04,8.15E-01,,4.29E-02,6.81E-04,8.15E-01,,,,,,,,,,0.0034,4,,,,stress,15,,
5.72E-02,9.08E-04,1.08675,,5.72E-02,9.08E-04,1.08675,,,,,,,,,,0.0042,5,,,,,,,
7.15E-02,1.14E-03,1.35845,,7.15E-02,1.14E-03,1.35845,,,,,,,,,,0.0051,6,,,,,time,strain,
8.58E-02,1.36E-03,1.63015,,8.58E-02,1.36E-03,1.63015,,,,,,,,,,0.0060,7,,,,0,0,0.00000,#DIV/0!
1.00E-01,1.59E-03,1.90185,,1.00E-01,1.59E-03,1.90185,,,,,,,,,,0.0070,8,,,,20,1200,0.01954,0.00000
1.14E-01,1.82E-03,2.17355,,1.14E-01,1.82E-03,2.17355,,,,,,,,,,0.0080,9,,,,40,2400,0.02763,0.00000
1.29E-01,2.04E-03,2.44525,,1.29E-01,2.04E-03,2.44525,,,,,,,,,,0.0092,10,,,,60,3600,0.03384,0.00000
1.43E-01,2.27E-03,2.71695,,1.43E-01,2.27E-03,2.71695,,,,,,,,,,0.0104,11,,,,80,4800,0.03908,0.00000
1.57E-01,2.50E-03,2.98865,,1.57E-01,2.50E-03,2.98865,,,,,,,,,,0.0118,12,,,,100,6000,0.04369,0.00000
1.72E-01,2.73E-03,3.26036,,1.72E-01,2.73E-03,3.26036,,,,,,,,,,0.0135,13,,,,120,7200,0.04786,0.00000
1.86E-01,2.96E-03,3.53205,,1.86E-01,2.96E-03,3.53205,,,,,,,,,,0.0153,14,,,,,,,
2.00E-01,3.19E-03,3.80375,,2.00E-01,3.19E-03,3.80375,,,,,,,,,,0.0174,15,,,,,,,
2.15E-01,3.42E-03,4.07545,,2.15E-01,3.42E-03,4.07545,,,,,,,,,,0.0199,16,,,,,,,
2.29E-01,3.65E-03,4.34715,,2.29E-01,3.65E-03,4.34716,,,,,,,,,,0.0227,17,,,,,,,
2.43E-01,3.88E-03,4.61885,,2.43E-01,3.88E-03,4.61885,,,,,,,,,,0.0260,18,,,,,,,
2.57E-01,4.11E-03,4.89055,,2.57E-01,4.11E-03,4.89055,,,,,,,,,,0.0297,19,,,,,,,
2.72E-01,4.34E-03,5.16226,,2.72E-01,4.34E-03,5.16227,350,,,,,,,,,0.0341,20,,,,,,,
2.86E-01,4.58E-03,5.43396,,2.86E-01,4.58E-03,5.43396,8.75,,,,,,,,,0.0391,21,,,,,,,
3.00E-01,4.81E-03,5.70565,,3.00E-01,4.81E-03,5.70565,,,,,,,,,,0.0449,22,,,,stress,10,,
3.15E-01,5.05E-03,5.97735,,3.15E-01,5.05E-03,5.97735,,,,,,,,,,0.0515,23,,,,A,1,,
3.29E-01,5.29E-03,6.24905,,3.29E-01,5.29E-03,6.24905,,,,,,,,,,0.0590,24,,,,alpha,0.1,,
3.43E-01,5.53E-03,6.52075,,3.43E-01,5.53E-03,6.52075,,,,,,,,,,0.0675,25,,,,t1,100,,
3.58E-01,5.77E-03,6.79245,,3.58E-01,5.77E-03,6.79245,,,,,,,,,,0.0772,26,,,,m,0.5,,
3.72E-01,6.01E-03,7.06418,,3.72E-01,6.01E-03,7.06418,,,,,,,,,,0.0881,27,,,,,,,
3.86E-01,6.26E-03,7.33585,,3.86E-01,6.26E-03,7.33586,,,,,,,,,,0.1004,28,,,,t,epsilon rate,epsilon,
4.00E-01,6.51E-03,7.60754,,4.00E-01,6.51E-03,7.60754,,,,,,,,,,0.1141,29,,,,1,27.18281828,,
4.15E-01,6.76E-03,7.87924,,4.15E-01,6.76E-03,7.87925,,,,,,,,,,0.1295,30,,,,10,8.5959619,161.0045108,
4.29E-01,7.01E-03,8.15096,,4.29E-01,7.01E-03,8.15096,,,,,,,,,,0.1466,31,,,,20,6.07826295,234.3756351,
4.43E-01,7.27E-03,8.42265,,4.43E-01,7.27E-03,8.42265,,,,,,,,,,0.1657,32,,,,30,4.962880917,289.5813544,
4.58E-01,7.53E-03,8.69434,,4.58E-01,7.53E-03,8.69434,,,,,,,,,,0.1868,33,,,,40,4.29798095,335.8856638,
4.72E-01,7.79E-03,8.96604,,4.72E-01,7.79E-03,8.96604,,,,,,,,,,0.2101,34,,,,50,3.844231028,376.5967236,
4.86E-01,8.07E-03,9.23778,,4.86E-01,8.07E-03,9.23778,,,,,,,,,,0.2357,35,,,,60,3.509286751,413.3643125,
5.01E-01,8.34E-03,9.50949,,5.01E-01,8.34E-03,9.50949,,,,,,,,,,0.2640,36,,,,70,3.24896821,447.1555873,
